id,city,state,yob
AAR-76637112-u-393942-YY,Pittsburgh,Pennsylvania,5
AAS-80379381-f-915564-cV,Sparks,Nevada,10
AAS-82228974-y-969269-m3,Los Angeles,California,12
AAS-96671334-z-432224-5P,Oakland,California,0
AAT-53465245-9-250458-MD,New Haven,Connecticut,8
AAT-75307639-3-594254-7W,Denver,Colorado,6
AAU-19071872-l-767060-IT,Louisville,Kentucky,7
AAU-53284369-O-231068-hJ,Orange,California,8
AAU-59108059-N-723282-PI,Saint Louis,Missouri,6
AAV-55712680-M-150407-aO,Des Moines,Iowa,6
AAV-93574943-s-607189-o8,Lubbock,Texas,5
AAW-85808076-I-731688-A1,Irvine,California,2
AAY-33436823-a-839214-vh,Saint Louis,Missouri,4
AAY-71123295-b-462877-Yc,Phoenix,Arizona,8
AAZ-07602543-j-739510-2U,Conroe,Texas,2
AAZ-63205041-L-649076-zs,Atlanta,Georgia,5
AAZ-87554486-c-344303-Qm,Scottsdale,Arizona,5
ABB-11911576-a-141607-W5,Charleston,West Virginia,4
ABB-38485314-y-080888-AB,Boston,Massachusetts,6
ABB-63676693-c-049214-19,Lakewood,Washington,10
ABB-91988499-k-181948-f0,Young America,Minnesota,3
ABC-50434863-q-514845-yp,Sacramento,California,10
ABC-56014448-V-074768-Ye,Knoxville,Tennessee,6
ABD-13623421-L-291517-Gu,Northridge,California,3
ABD-17771727-v-898121-w1,Oakland,California,8
ABD-18250411-a-121317-mv,Green Bay,Wisconsin,1
ABE-47352675-l-931537-ug,Alpharetta,Georgia,1
ABF-86189991-Q-330023-5R,New York City,New York,9
ABG-46972551-y-208760-BH,Spring,Texas,3
ABG-98544637-N-881832-I8,Young America,Minnesota,9
ABI-32421675-t-696763-Qo,Herndon,Virginia,5
ABJ-07188852-S-895716-7C,El Paso,Texas,0
ABJ-37777704-F-426215-HO,Chicago,Illinois,2
ABK-09847353-y-616256-HQ,Milwaukee,Wisconsin,3
ABK-35464239-i-856539-OP,West Palm Beach,Florida,12
ABK-54886915-w-051478-MU,Cincinnati,Ohio,5
ABK-65702060-X-640676-C7,Birmingham,Alabama,9
ABL-00369532-u-286753-xQ,Sacramento,California,10
ABL-49667268-l-692732-nZ,Raleigh,North Carolina,10
ABM-71479982-G-955317-lh,Los Angeles,California,11
ABN-22372424-r-536718-gy,Kent,Washington,9
ABN-55071122-x-703525-ff,Oklahoma City,Oklahoma,7
ABO-17858518-Y-850565-iM,Brooksville,Florida,13
ABP-35801280-f-649653-jX,Washington,District of Columbia,7
ABP-87719889-X-632583-NW,Myrtle Beach,South Carolina,8
ABQ-21259095-d-322207-K6,Dallas,Texas,11
ABQ-69786369-l-190368-ZA,Naperville,Illinois,4
ABR-34794642-k-284006-LZ,Muncie,Indiana,5
ABR-80000720-t-707099-iD,Pasadena,California,8
ABS-12479762-e-157465-VS,Brea,California,10
ABS-82399735-I-450769-31,Newark,New Jersey,9
ABS-86308509-f-138659-09,Fort Worth,Texas,2
ABT-54121115-T-403439-oJ,Gadsden,Alabama,1
ABT-56416541-T-389898-hr,Durham,North Carolina,11
ABU-76554602-x-662523-9P,New Castle,Pennsylvania,11
ABV-19906776-N-361245-yX,Dayton,Ohio,11
ABV-93974608-F-211415-j1,Miami,Florida,0
ABW-05125804-2-586383-b2,Pueblo,Colorado,5
ABW-59673428-u-717918-nK,Lakewood,Washington,7
ABW-82676885-i-712845-oa,San Diego,California,8
ABX-39451389-S-133767-Ta,Spartanburg,South Carolina,1
ACA-58053876-H-693540-7z,Oklahoma City,Oklahoma,2
ACB-92952013-8-452533-SH,San Antonio,Texas,12
ACB-94517357-W-734265-Nf,New Orleans,Louisiana,12
ACC-44326046-J-372932-MK,Harrisburg,Pennsylvania,1
ACC-60850826-b-749605-Tq,Clearwater,Florida,3
ACD-26185418-G-947607-4E,Denver,Colorado,2
ACD-88081846-d-064356-vv,San Antonio,Texas,12
ACD-93016460-A-833226-kH,Des Moines,Iowa,13
ACD-95213289-u-666897-Qv,Hayward,California,9
ACF-70496828-f-622155-2M,Albuquerque,New Mexico,0
ACH-31995608-O-258058-kb,Jackson,Mississippi,4
ACH-36749554-1-130450-KV,Providence,Rhode Island,5
ACI-69828116-Z-070252-1E,Colorado Springs,Colorado,2
ACJ-46859898-I-784218-mQ,Saint Louis,Missouri,4
ACJ-78894959-D-599583-8u,Washington,District of Columbia,3
ACJ-79749727-E-435610-NA,Pasadena,California,0
ACJ-83115031-v-161814-VL,Houston,Texas,1
ACL-15445887-I-029274-bR,Lake Worth,Florida,12
ACM-54335426-w-598757-KP,Saginaw,Michigan,4
ACM-86428627-v-661880-0R,Hollywood,Florida,11
ACN-77873640-3-790247-pP,Springfield,Illinois,3
ACO-20220185-E-171819-sV,Boulder,Colorado,1
ACO-43107320-w-448962-X1,North Las Vegas,Nevada,0
ACO-45490954-v-207215-H0,Buffalo,New York,3
ACO-74036498-L-833623-9F,Johnstown,Pennsylvania,3
ACP-72789209-h-980325-ef,Fort Worth,Texas,6
ACP-97216480-Y-020641-3S,Columbia,South Carolina,10
ACQ-32837644-u-056238-6O,Orlando,Florida,8
ACQ-63385867-T-586347-Qy,Van Nuys,California,12
ACR-80565897-b-613567-DA,Columbia,Missouri,2
ACS-12661335-f-078409-Pb,Decatur,Georgia,11
ACS-55956340-x-732684-bs,Charlotte,North Carolina,2
ACT-48837150-S-621193-pZ,Suffolk,Virginia,9
ACU-24471158-A-087914-Da,Dallas,Texas,2
ACU-36549849-2-800537-iB,Naples,Florida,4
ACU-79982099-z-388574-23,Kansas City,Kansas,7
ACW-72345940-L-941852-PH,Albuquerque,New Mexico,7
ACZ-05345443-p-062919-ZX,Memphis,Tennessee,6
ACZ-06564550-F-221698-KK,Colorado Springs,Colorado,13
ADA-13033039-t-872985-8V,Washington,District of Columbia,2
ADA-90095505-U-023645-HG,Mansfield,Ohio,12
ADB-05896225-t-125420-6V,Charleston,West Virginia,6
ADB-35798611-s-275848-v5,Boise,Idaho,4
ADC-45000402-g-588813-Xo,Des Moines,Iowa,0
ADD-13392511-Q-014777-rW,Washington,District of Columbia,8
ADD-22472215-6-867875-i9,Cleveland,Ohio,13
ADD-29235481-v-379800-dd,Springfield,Illinois,2
ADD-52461983-2-572581-j5,Saint Louis,Missouri,7
ADD-82219259-r-882390-EG,#N/A,#N/A,10
ADF-61445458-U-129113-ou,Sparks,Nevada,2
ADF-90803392-E-455691-Tj,Washington,District of Columbia,10
ADG-45990959-H-081803-lc,Reading,Pennsylvania,9
ADG-73733152-b-093036-S1,Columbus,Ohio,6
ADG-80178942-6-360880-Kx,Los Angeles,California,3
ADH-19274891-H-651209-HD,Miami,Florida,10
ADH-37770170-0-958992-RD,Sacramento,California,4
ADH-97385838-o-100035-fC,Dallas,Texas,3
ADI-18403811-N-192452-GP,Albany,New York,1
ADI-74889604-y-862336-oi,Anaheim,California,8
ADJ-32322659-b-817383-kb,Denver,Colorado,8
ADJ-83296429-r-777675-Lp,Philadelphia,Pennsylvania,4
ADK-01603771-H-849188-f0,Minneapolis,Minnesota,6
ADK-73015633-e-759286-IZ,Fort Lauderdale,Florida,5
ADL-19198960-J-599511-az,Knoxville,Tennessee,10
ADL-47845173-7-572956-5A,New Orleans,Louisiana,2
ADM-66230424-f-920931-HG,New Hyde Park,New York,4
ADN-22075986-Q-809913-9j,Cincinnati,Ohio,6
ADN-27367985-q-844674-27,Bakersfield,California,8
ADN-52338882-b-912477-9y,Minneapolis,Minnesota,5
ADN-93495262-P-403085-qv,Erie,Pennsylvania,10
ADO-00229174-3-541377-bp,Phoenix,Arizona,6
ADO-50626427-g-426771-OU,Wilkes Barre,Pennsylvania,11
ADO-62752100-P-790257-Nn,Lafayette,Indiana,11
ADP-11456390-c-968117-qR,Ann Arbor,Michigan,6
ADP-47736125-0-218367-aE,Columbus,Ohio,13
ADP-62492029-1-366599-AN,Phoenix,Arizona,13
ADQ-01102459-C-100802-6n,Charleston,South Carolina,12
ADQ-26875534-W-833106-Pf,Fort Pierce,Florida,4
ADQ-60951223-W-879730-hD,Louisville,Kentucky,7
ADR-26186331-g-025621-g6,New Orleans,Louisiana,4
ADR-61258105-y-130822-pB,Abilene,Texas,7
ADS-53199030-B-052642-0q,Shawnee Mission,Kansas,4
ADT-10463929-A-767058-zY,Augusta,Georgia,11
ADT-49662460-q-151145-Pv,Inglewood,California,1
ADU-05799168-P-466644-LC,Columbia,South Carolina,13
ADU-42681150-W-083842-8Y,Houston,Texas,11
ADU-61674289-i-207474-QQ,Durham,North Carolina,10
ADV-23451765-w-845838-kh,Oklahoma City,Oklahoma,3
ADW-70560261-j-720935-0R,Phoenix,Arizona,3
ADW-94940632-k-309232-CY,Nashville,Tennessee,2
ADX-06924715-V-504904-nN,Baltimore,Maryland,6
ADX-29427632-Q-443251-Tr,Aurora,Colorado,9
ADY-43753917-3-394136-z4,Salinas,California,10
ADY-50905197-T-362556-D1,Temple,Texas,10
ADY-79608592-0-592226-iC,Peoria,Illinois,10
ADY-91463567-s-615634-v5,Oklahoma City,Oklahoma,0
ADZ-20624140-y-899608-Gj,Honolulu,Hawaii,2
ADZ-56490816-x-821066-KX,Elmira,New York,0
ADZ-91787233-3-240500-cL,El Paso,Texas,1
ADZ-92606518-J-557743-oC,Washington,District of Columbia,2
AEA-46457261-W-839108-dq,Minneapolis,Minnesota,7
AEB-43797258-O-351518-lT,Hartford,Connecticut,11
AEC-00168625-f-418467-H1,Ocala,Florida,10
AEC-02089597-L-649639-hb,Saint Louis,Missouri,10
AEC-49271233-0-862817-OH,Atlanta,Georgia,11
AEC-75036859-k-280749-uv,Jacksonville,Florida,10
AEC-84032737-o-188133-4i,Honolulu,Hawaii,2
AED-56501249-l-944128-FI,Brooklyn,New York,3
AED-99008046-h-766475-5l,Anniston,Alabama,0
AEE-06933611-i-304319-Ne,Spartanburg,South Carolina,9
AEE-50328652-I-593860-Tg,Jackson,Mississippi,10
AEE-50514765-Q-189865-xt,Spokane,Washington,13
AEE-57875108-O-361548-0X,New York City,New York,8
AEE-82839952-T-440486-9k,San Antonio,Texas,8
AEE-98156740-u-209777-j8,Saint Paul,Minnesota,11
AEF-61893335-8-713447-Jw,El Paso,Texas,12
AEF-91897993-a-514853-If,Washington,District of Columbia,9
AEG-44562797-2-350919-eJ,Peoria,Illinois,12
AEG-66489281-u-107618-q4,Lima,Ohio,5
AEG-87706830-c-434597-nN,West Palm Beach,Florida,10
AEH-07318546-S-823879-OE,Fresno,California,10
AEH-75038080-t-430792-YT,Fargo,North Dakota,13
AEI-00763993-O-476027-EK,Winston Salem,North Carolina,5
AEI-43024059-j-273938-4x,San Francisco,California,9
AEI-49671564-j-546620-d4,Atlanta,Georgia,1
AEI-58369400-k-366035-FP,Tucson,Arizona,2
AEJ-59414806-w-969268-Tj,Lexington,Kentucky,4
AEJ-83479940-N-569382-tX,Austin,Texas,13
AEJ-91520410-r-380913-8r,Charlotte,North Carolina,2
AEK-67451561-9-093115-xm,Cleveland,Ohio,8
AEK-94443758-B-071005-7o,Seminole,Florida,6
AEN-11654157-b-673306-MS,White Plains,New York,13
AEN-49354435-l-028442-aJ,Washington,District of Columbia,3
AEO-39110215-U-229251-L4,Fresno,California,3
AEO-68156385-D-345696-zN,Cleveland,Ohio,10
AEP-51959850-K-876032-uj,Richmond,Virginia,5
AEP-60017336-8-343884-Al,Mobile,Alabama,2
AEQ-03358892-c-197371-Jo,Kansas City,Missouri,6
AEQ-92763061-a-310376-PC,Pensacola,Florida,0
AES-10431644-I-117868-cw,New Orleans,Louisiana,2
AES-28631689-m-213281-US,Richmond,California,0
AET-23997205-g-213302-eQ,Glendale,Arizona,3
AET-47639934-U-808176-V0,Portland,Oregon,7
AET-57003095-s-558723-z5,Manchester,New Hampshire,7
AET-83208612-X-432749-KM,Washington,District of Columbia,13
AET-86134590-K-960606-pr,Biloxi,Mississippi,8
AEU-51951105-v-000900-rx,Atlanta,Georgia,7
AEU-56094449-l-531222-4J,Tacoma,Washington,13
AEU-72765141-h-786051-KQ,Little Rock,Arkansas,11
AEU-80520881-g-818421-bz,Peoria,Illinois,2
AEV-68600772-I-743248-7I,Louisville,Kentucky,7
AEW-07227468-b-005377-mr,Philadelphia,Pennsylvania,1
AEW-17661680-W-363946-QR,Des Moines,Iowa,0
AEW-19408750-v-994309-Gq,Roanoke,Virginia,4
AEW-97058330-P-033180-y1,El Paso,Texas,2
AEX-93189997-h-770586-zo,Denver,Colorado,7
AEY-56174170-8-929904-uy,Sioux Falls,South Dakota,3
AEZ-16828836-P-538867-Nr,New York City,New York,7
AEZ-26390646-Z-813895-wN,Philadelphia,Pennsylvania,13
AFA-05337289-b-902643-d9,Dearborn,Michigan,11
AFA-91338253-X-544902-Wc,Fresno,California,7
AFA-92102231-t-302932-vx,Pittsburgh,Pennsylvania,9
AFB-68346999-V-269925-aG,Cape Coral,Florida,8
AFC-31217439-X-580261-rc,Houston,Texas,7
AFC-31287647-f-618830-JN,Mount Vernon,New York,8
AFC-80065421-9-839898-WE,Los Angeles,California,12
AFC-82594035-Z-895450-mN,Saint Louis,Missouri,9
AFD-11141484-W-051415-9p,Cleveland,Ohio,8
AFE-41091645-h-786610-T4,Saint Petersburg,Florida,7
AFG-03600245-i-579535-w8,Saint Paul,Minnesota,8
AFH-55414603-N-936348-Ze,Mobile,Alabama,12
AFH-78384686-u-607805-lP,Helena,Montana,5
AFH-79421058-K-489503-L4,Atlanta,Georgia,9
AFJ-01933444-Z-864542-eN,Philadelphia,Pennsylvania,10
AFK-82321802-R-686842-Rz,Pittsburgh,Pennsylvania,8
AFK-82624786-V-540921-oJ,Boston,Massachusetts,6
AFL-01987733-n-720106-6j,Baton Rouge,Louisiana,6
AFL-05345176-5-893094-Xk,Fresno,California,9
AFL-18902859-Y-125437-DE,Bloomington,Indiana,10
AFL-24900389-M-679688-aX,San Jose,California,10
AFM-63308157-T-890343-Pp,Honolulu,Hawaii,4
AFM-93941306-0-604478-C0,Oklahoma City,Oklahoma,10
AFN-06613393-q-866019-bf,Mansfield,Ohio,13
AFP-36710915-H-444891-y2,Washington,District of Columbia,6
AFQ-21180836-l-202073-p4,Jamaica,New York,7
AFR-21906968-w-117533-n8,Honolulu,Hawaii,12
AFR-23286100-D-097378-Rj,Tacoma,Washington,0
AFR-42691883-n-152608-m8,Oakland,California,7
AFS-30574981-P-254595-bN,Flint,Michigan,12
AFS-32490539-G-101963-5W,Seattle,Washington,11
AFS-64505936-x-634559-yT,Silver Spring,Maryland,6
AFU-01940145-5-366819-Xx,Oklahoma City,Oklahoma,1
AFV-42977703-L-700374-iF,Baltimore,Maryland,12
AFV-62146363-W-354516-Cn,Jamaica,New York,3
AFW-57728092-4-132222-LS,El Paso,Texas,12
AFW-71280595-k-397518-Yx,Vancouver,Washington,2
AFX-00514708-l-344109-rs,Loretto,Minnesota,4
AFX-78064525-3-508223-il,New York City,New York,4
AFX-95708400-G-635254-A7,New York City,New York,7
AFY-15368899-U-530480-f1,Waltham,Massachusetts,13
AFY-28083248-I-265230-MT,El Paso,Texas,8
AFY-87841666-w-793023-ev,Kansas City,Kansas,7
AGA-09317571-s-449599-S8,Louisville,Kentucky,5
AGA-38136146-i-465445-Yv,Evansville,Indiana,1
AGB-03442335-j-756459-DM,Las Vegas,Nevada,4
AGB-90847640-T-344401-6X,Petaluma,California,3
AGD-24519953-j-550817-c4,Arlington,Texas,8
AGD-56475681-T-137640-HU,Rochester,New York,9
AGD-78747856-9-439347-6T,Amarillo,Texas,6
AGE-60515992-I-817797-Lo,Sparks,Nevada,11
AGE-78176662-w-131140-o1,Saint Paul,Minnesota,7
AGE-94453696-L-174918-Lz,Newport Beach,California,7
AGF-46998992-Z-490162-dT,Virginia Beach,Virginia,6
AGF-72909793-G-865281-Dz,Jamaica,New York,2
AGF-80829408-t-329547-H9,Toledo,Ohio,8
AGG-17324626-k-924013-UV,Dallas,Texas,5
AGH-11636598-e-028360-yZ,Fort Worth,Texas,2
AGH-91524655-J-016760-9P,East Saint Louis,Illinois,3
AGI-63094926-O-058916-rL,Spokane,Washington,1
AGJ-05298229-2-615469-pa,San Diego,California,13
AGJ-60335765-Y-906379-2t,Brooklyn,New York,6
AGJ-80307414-m-265517-58,Toledo,Ohio,3
AGK-32957512-Z-724684-7E,Salt Lake City,Utah,9
AGL-18926193-m-791969-dh,Palo Alto,California,13
AGL-75758388-y-240453-Hl,Miami,Florida,9
AGM-07962859-y-405566-9V,Baton Rouge,Louisiana,8
AGM-88915008-O-509778-U7,Shawnee Mission,Kansas,8
AGN-26103304-F-738996-4D,Boston,Massachusetts,10
AGN-43272684-K-721591-Uu,Louisville,Kentucky,6
AGP-93469228-H-066327-Ak,New Orleans,Louisiana,11
AGQ-44969894-R-787840-fp,San Bernardino,California,1
AGQ-46731838-r-896406-Gc,Indianapolis,Indiana,3
AGQ-53669503-w-647194-vX,Tucson,Arizona,10
AGQ-86386389-R-129210-t6,Juneau,Alaska,12
AGR-47307649-h-965336-AP,Greensboro,North Carolina,12
AGR-76721696-n-629597-bk,Minneapolis,Minnesota,4
AGS-30315774-j-278035-9O,Washington,District of Columbia,1
AGT-43256196-v-223990-jm,Toledo,Ohio,0
AGT-62403746-P-013285-8G,Fullerton,California,3
AGT-63562125-L-600440-5x,Baltimore,Maryland,2
AGT-73800468-r-870982-Tl,Orlando,Florida,2
AGT-80464850-S-315895-rf,Sacramento,California,13
AGU-96993389-q-904313-yg,Oakland,California,11
AGV-82599455-i-565760-Va,Boston,Massachusetts,9
AGW-10068468-a-224613-EQ,Pittsburgh,Pennsylvania,2
AGW-23792834-k-555644-Oz,El Paso,Texas,5
AGW-57484603-o-010582-cz,Kansas City,Missouri,10
AGW-71605126-x-848666-rk,Toledo,Ohio,6
AGX-03295696-j-625340-Dt,Orlando,Florida,7
AGX-52341640-8-012394-51,Boise,Idaho,8
AGX-79640692-7-100627-x4,#N/A,#N/A,3
AGX-80219844-g-277851-Qh,Frederick,Maryland,8
AGX-85259377-x-322019-m1,Morgantown,West Virginia,11
AGX-90483714-5-252133-9K,Miami,Florida,6
AGY-80850036-E-468219-ia,Orange,California,4
AGZ-36541366-b-670113-FR,Asheville,North Carolina,11
AHA-14206276-R-580019-Bo,Saint Augustine,Florida,11
AHB-67606889-S-942778-AX,Tulsa,Oklahoma,2
AHB-75378428-A-736943-6o,Birmingham,Alabama,10
AHD-26187744-b-385606-Gr,Saint Paul,Minnesota,10
AHD-60667522-3-992166-Dp,Baton Rouge,Louisiana,11
AHD-84388580-Y-991165-W0,Olympia,Washington,9
AHD-97144048-1-102143-Ux,Hartford,Connecticut,9
AHE-35995237-W-294264-pu,Washington,District of Columbia,5
AHF-79281501-1-374586-nv,Newark,New Jersey,5
AHF-92860554-C-888345-Lc,Dallas,Texas,6
AHG-72040808-J-703860-co,Austin,Texas,8
AHG-97230196-2-488315-LI,Wichita,Kansas,1
AHH-58407502-d-862644-3z,Sarasota,Florida,6
AHH-82865519-O-189543-cX,Augusta,Georgia,9
AHI-75322844-f-234785-fw,Bonita Springs,Florida,13
AHJ-58020130-r-174004-9J,Mountain View,California,4
AHJ-66217897-T-966100-pS,Indianapolis,Indiana,10
AHJ-93969442-x-325752-c1,Gulfport,Mississippi,1
AHK-49391876-g-842368-9S,Loretto,Minnesota,9
AHL-76531458-K-654243-Ml,Louisville,Kentucky,6
AHL-91468967-y-183013-pz,Atlanta,Georgia,4
AHM-24123303-f-232159-Iy,Charleston,West Virginia,8
AHM-49115584-f-252548-L7,Jacksonville,Florida,0
AHN-89993411-N-591560-9Q,Brockton,Massachusetts,5
AHO-32210067-X-829725-04,Toledo,Ohio,12
AHO-75345530-z-255970-ZP,Daytona Beach,Florida,1
AHO-97376991-2-982770-9y,San Jose,California,13
AHP-70385893-V-602272-Al,Manassas,Virginia,3
AHQ-18083366-1-231888-mF,Monroe,Louisiana,2
AHQ-89937719-g-523534-kr,Marietta,Georgia,4
AHR-02286575-o-112605-Ns,Tulsa,Oklahoma,6
AHR-59641215-5-039222-xG,Baton Rouge,Louisiana,8
AHR-86243550-Q-808797-YH,Chicago,Illinois,13
AHS-16714386-M-407455-We,Peoria,Illinois,9
AHS-98690342-o-041256-l3,Washington,District of Columbia,3
AHT-32182110-g-661113-kv,Young America,Minnesota,9
AHT-58202296-N-143913-B0,Colorado Springs,Colorado,1
AHU-74474919-h-032493-mW,Fresno,California,6
AHV-20073997-P-777168-5e,Austin,Texas,11
AHV-55133008-1-514379-Ci,Phoenix,Arizona,6
AHV-81170824-g-831875-0u,Baltimore,Maryland,10
AHW-95640379-t-817291-l4,Waco,Texas,1
AHX-08352703-i-000842-RP,Milwaukee,Wisconsin,2
AHX-23134707-V-910819-XR,Wilmington,Delaware,13
AHX-41930143-B-693279-EZ,Elmira,New York,2
AHY-26798197-C-370619-iq,Zephyrhills,Florida,11
AHZ-72542828-K-040805-bT,Baton Rouge,Louisiana,8
AIA-57949287-w-795890-rB,Gainesville,Florida,6
AIA-90152691-i-584321-bR,Houston,Texas,8
AIB-27248729-4-253116-Jz,Miami,Florida,7
AIC-11166289-j-265990-EO,Boulder,Colorado,8
AIC-87421183-R-827432-jZ,Jefferson City,Missouri,2
AID-50984309-3-968935-wu,San Antonio,Texas,2
AIE-01114432-B-593873-XV,Dallas,Texas,12
AIE-19187092-I-602575-Ni,College Station,Texas,2
AIE-20004940-a-920124-vk,Columbia,Missouri,0
AIE-89204753-h-274978-dW,Tulsa,Oklahoma,8
AIF-05876052-7-844733-LQ,Monticello,Minnesota,9
AIF-87924268-3-543357-ik,Saint Louis,Missouri,2
AIF-94709159-o-499126-iP,Dallas,Texas,6
AIG-50712617-X-263128-kn,Birmingham,Alabama,10
AIG-55998053-a-970906-TZ,Fresno,California,6
AIH-40441790-l-569865-BF,Manassas,Virginia,1
AIH-49843994-J-934510-RU,Chicago,Illinois,3
AIJ-73370296-O-926174-kL,Carol Stream,Illinois,2
AIL-08349310-i-371665-oH,Houston,Texas,2
AIL-21152814-d-948025-n4,#N/A,#N/A,8
AIL-32579851-G-364452-rC,Yakima,Washington,13
AIL-40194170-K-492850-ie,Pensacola,Florida,9
AIM-02501879-e-662933-w3,Seattle,Washington,8
AIM-57760889-h-503609-Ap,Orlando,Florida,6
AIN-29110775-H-534958-CL,Seattle,Washington,5
AIP-40317993-f-409477-sB,Jamaica,New York,1
AIQ-13858749-i-736581-NW,Omaha,Nebraska,11
AIQ-24508474-J-245210-yo,Chicago,Illinois,7
AIQ-50641647-Y-638688-Sb,Gastonia,North Carolina,6
AIQ-62535193-U-681149-9V,Tampa,Florida,2
AIQ-75413229-1-313628-u2,Orange,California,10
AIR-01348194-H-721019-dH,Paterson,New Jersey,11
AIR-05955354-j-454404-ft,Jamaica,New York,5
AIR-37410576-l-677241-5e,New York City,New York,11
AIR-61184965-B-650303-q0,Kansas City,Missouri,7
AIT-03204849-u-527617-hw,Madison,Wisconsin,13
AIT-53744243-g-248933-XX,Arlington,Texas,2
AIT-61813654-Z-632072-oQ,Birmingham,Alabama,5
AIT-96330717-j-597210-yd,Ventura,California,9
AIU-87143352-F-558604-W6,Oakland,California,9
AIV-70264825-g-336031-Yb,El Paso,Texas,12
AIW-12164337-k-374009-jI,Norfolk,Virginia,9
AIX-34560628-a-402039-On,Charlotte,North Carolina,9
AIX-60834746-2-797099-dz,Los Angeles,California,1
AIX-64842660-h-427011-KH,Dallas,Texas,7
AIY-05392337-d-505535-7a,Gainesville,Florida,3
AIY-05789882-n-132668-SQ,Baltimore,Maryland,1
AIY-23597029-C-399120-pS,Duluth,Minnesota,0
AIZ-77983274-F-666637-rD,Cincinnati,Ohio,12
AIZ-82753235-V-841345-Z2,Hampton,Virginia,8
AJA-01407040-d-670666-Oh,Lees Summit,Missouri,1
AJA-48171746-T-788722-VL,Houston,Texas,7
AJA-81601427-o-265585-Dc,Oklahoma City,Oklahoma,7
AJB-61443594-K-097157-i9,Springfield,Massachusetts,6
AJB-78522294-m-346396-QL,Daytona Beach,Florida,7
AJC-00720232-M-611257-4b,North Las Vegas,Nevada,11
AJC-34459629-G-011266-rQ,Bronx,New York,11
AJC-36215054-X-944575-7o,Washington,District of Columbia,13
AJC-59846755-T-246897-KV,Miami,Florida,4
AJC-97966013-y-000555-1w,Knoxville,Tennessee,1
AJD-74959948-K-377537-66,Dallas,Texas,11
AJE-56244361-7-061588-b9,Young America,Minnesota,12
AJE-60168671-P-152568-O3,Inglewood,California,2
AJE-72070727-8-022468-Qd,Amarillo,Texas,5
AJF-10178673-I-311710-Fh,#N/A,#N/A,0
AJF-59483277-8-781969-yR,Florence,South Carolina,8
AJF-59870982-2-287904-Cx,Kalamazoo,Michigan,10
AJF-75012182-K-212513-Yu,Des Moines,Iowa,12
AJF-78028680-9-536390-pq,Houston,Texas,3
AJG-58257292-T-420038-q6,Van Nuys,California,4
AJG-71538120-M-561026-vL,Pomona,California,4
AJJ-39470973-x-479444-zD,Tucson,Arizona,1
AJK-43786585-w-974435-B0,Austin,Texas,13
AJL-08642524-Z-122315-fl,Richmond,Virginia,6
AJL-32610635-E-456046-ry,Buffalo,New York,7
AJL-38099542-b-394015-L5,Pittsburgh,Pennsylvania,8
